nr_particles,resolutions,log_n_particles,inv_resolution_squared
156,18.675,5.049856007249537,0.002867337265169558
312,9.63871,5.7430031878094825,0.010763714560115078
624,8.788235,6.436150368369428,0.012947820704685937
1248,7.863158,7.129297548929373,0.016173573828319625
2496,4.98,7.822444729489319,0.04032193029144691
4992,4.268572,8.515591910049263,0.054882612646995156
9984,3.88052,9.208739090609209,0.06640796130286414
19968,3.515294,9.901886271169154,0.08092387940428711
39936,3.283517,10.5950334517291,0.09275161102763067
79872,3.145263,11.288180632289045,0.1010848492825
159744,3.018182,11.98132781284899,0.10977644199238648
